21:24:29.681 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsGridDisplay
21:24:29.681 INFO   - DlgSettingsGridDisplay::DlgSettingsGridDisplay
21:24:29.681 INFO   - DlgSettingsGridDisplay::createSubPanel
21:24:29.681 INFO   - DlgSettingsGridDisplay::createDisplayGridLinesX
21:24:29.682 INFO   - DlgSettingsGridDisplay::createDisplayGridLinesY
21:24:29.682 INFO   - DlgSettingsGridDisplay::createDisplayCommon
21:24:29.683 INFO   - DlgSettingsGridDisplay::createPreview
21:24:29.688 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsGridRemoval
21:24:29.688 INFO   - DlgSettingsGridRemoval::DlgSettingsGridRemoval
21:24:29.688 INFO   - DlgSettingsGridRemoval::createSubPanel
21:24:29.688 INFO   - DlgSettingsGridRemoval::createRemoveGridLines
21:24:29.689 INFO   - DlgSettingsGridRemoval::createRemoveGridLinesX
21:24:29.689 INFO   - DlgSettingsGridRemoval::createRemoveGridLinesY
21:24:29.690 INFO   - DlgSettingsGridRemoval::createPreview
21:24:29.694 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsPointMatch
21:24:29.694 INFO   - DlgSettingsPointMatch::DlgSettingsPointMatch
21:24:29.694 INFO   - DlgSettingsPointMatch::createSubPanel
21:24:29.694 INFO   - DlgSettingsPointMatch::createControls
21:24:29.695 INFO   - DlgSettingsPointMatch::createPreview
21:24:29.695 INFO   - DlgSettingsPointMatch::createTemplate
21:24:29.700 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsSegments
21:24:29.700 INFO   - DlgSettingsSegments::DlgSettingsSegments
21:24:29.700 INFO   - DlgSettingsSegments::createSubPanel
21:24:29.700 INFO   - DlgSettingsSegments::createControls
21:24:29.701 INFO   - DlgSettingsSegments::createPreview
21:24:29.701 INFO   - DlgSettingsSegments::createPreviewImage
21:24:29.707 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsGeneral
21:24:29.707 INFO   - DlgSettingsGeneral::DlgSettingsGeneral
21:24:29.707 INFO   - DlgSettingsGeneral::createSubPanel
21:24:29.707 INFO   - DlgSettingsGeneral::createControls
21:24:29.708 INFO   - DlgSettingsGeneral::createOptionalSaveDefault
21:24:29.709 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsMainWindow
21:24:29.709 INFO   - DlgSettingsMainWindow::DlgSettingsMainWindow
21:24:29.709 INFO   - DlgSettingsMainWindow::createSubPanel
21:24:29.709 INFO   - DlgSettingsMainWindow::createControls
21:24:29.724 INFO   - DlgSettingsMainWindow::createOptionalSaveDefault
21:24:29.724 INFO   - MainWindow::createCommandStackShadow
21:24:29.724 INFO   - CmdStackShadow::CmdStackShadow
21:24:29.724 INFO   - MainWindow::createZoomMaps
21:24:29.724 INFO   - MainWindow::updateControls selectedItems=0
21:24:29.724 INFO   - MainWindow::slotViewToolBarChecklistGuide
21:24:29.725 INFO   - MainWindow::slotCmbBackground
21:24:29.725 INFO   - BackgroundStateContext::setBackgroundImage background=Filtered
21:24:29.725 INFO   - BackgroundStateContext::requestStateTransition
21:24:29.725 INFO   - BackgroundStateContext::completeRequestedStateTransitionIfExists
21:24:29.725 INFO   - BackgroundStateUnloaded::end
21:24:29.725 INFO   - BackgroundStateCurve::begin
21:24:29.725 INFO   - MainWindow::slotViewZoom
21:24:29.726 INFO   - MainWindow::slotViewZoomFactor
21:24:29.726 INFO   - StatusBar::slotZoom zoom=12
21:24:29.726 INFO   - MainWindow::updateSettingsMainWindow
21:24:29.726 INFO   - MainWindow::updateWindowTitle
21:24:29.726 INFO   - MainWindow::updateFittingWindow
21:24:29.726 INFO   - MainWindow::updateGeometryWindow
21:24:29.726 INFO   - MainWindow::setCurrentFile
21:24:29.726 INFO   - MainWindow::updateWindowTitle
21:24:29.800 INFO   - MainWindow::showEvent files=
21:24:43.646 INFO   - MainWindow::slotFileImport
21:24:43.646 INFO   - MainWindow::fileImportWithPrompts importType=0
21:25:11.529 INFO   - MainWindow::fileImport fileName=/home/misah/Pictures/v3ge-1.png curDir=/home/misah/Pictures importType=0
21:25:11.529 INFO   - Jpeg2000::load filename=/home/misah/Pictures/v3ge-1.png
21:25:11.531 ERROR  - Jpeg2000::load encountered error creating decoding stream
21:25:11.541 INFO   - MainWindow::loadImage fileName=/home/misah/Pictures/v3ge-1.png importType=0
21:25:11.541 INFO   - MainWindow::loadImageNewDocument fileName=/home/misah/Pictures/v3ge-1.png importType=0
21:25:11.545 INFO   - CoordSystemContext::CoordSystemContext
21:25:11.545 INFO   - Document::Document image=405x271
21:25:11.545 INFO   - CoordSystemContext::addCoordSystems numberToAdd=1
21:25:11.546 INFO   - CoordSystem::CoordSystem
21:25:11.547 INFO   - CmdMediator::CmdMediator image=405x271
21:25:11.547 INFO   - MainWindow::setupAfterLoadNewDocument file=/home/misah/Pictures/v3ge-1.png message=File imported importType=0
21:25:11.547 INFO   - DigitizeStateContext::resetOnLoad
21:25:11.547 INFO   - DocumentModelColorFilter::DocumentModelColorFilter
21:25:11.547 INFO   - BackgroundStateContext::setCurveSelected curve=
21:25:11.547 INFO   - BackgroundStateCurve::setCurveSelected curve=
21:25:11.547 INFO   - BackgroundStateCurve::processImageFromSavedInputs
21:25:11.547 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(0x0)
21:25:11.547 INFO   - BackgroundStateNone::setCurveSelected
21:25:11.547 INFO   - BackgroundStateOriginal::setCurveSelected
21:25:11.547 INFO   - BackgroundStateUnloaded::setCurveSelected
21:25:11.547 INFO   - Document::curvesGraphsNames
21:25:11.547 INFO   - CoordSystemContext::curvesGraphsNames
21:25:11.547 INFO   - MainWindow::setPixmap
21:25:11.547 INFO   - DigitizeStateContext::setImageIsLoaded
21:25:11.547 INFO   - DigitizeStateContext::setCursor
21:25:11.548 INFO   - DocumentModelColorFilter::DocumentModelColorFilter
21:25:11.548 INFO   - BackgroundStateContext::setPixmap image=405x271 currentState=BackgroundStateCurve
21:25:11.548 INFO   - BackgroundStateCurve::setPixmap
21:25:11.548 INFO   - BackgroundStateCurve::processImageFromSavedInputs
21:25:11.548 INFO   - DocumentModelColorFilter::high curve=Curve1 curves=Axes,Curve1
21:25:11.548 INFO   - DocumentModelColorFilter::low curve=Curve1 curves=Axes,Curve1
21:25:11.563 INFO   - GridRemoval::remove transformationIsDefined=false removeDefinedGridLines=false
21:25:11.563 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(405x271)
21:25:11.563 INFO   - BackgroundStateNone::setPixmap
21:25:11.564 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(405x271)
21:25:11.564 INFO   - BackgroundStateOriginal::setPixmap
21:25:11.564 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(405x271)
21:25:11.564 INFO   - BackgroundStateUnloaded::setPixmap
21:25:11.564 INFO   - Transformation::resetOnLoad
21:25:11.564 INFO   - TransformationStateContext::resetOnLoad
21:25:11.564 INFO   - GraphicsLinesForCurves::resetOnLoad
21:25:11.564 INFO   - GraphicsScene::resetOnLoad itemsBefore=4 itemsAfter=4
21:25:11.564 INFO   - MainWindow::loadCurveListFromCmdMediator
21:25:11.564 INFO   - Document::curvesGraphsNames
21:25:11.565 INFO   - CoordSystemContext::curvesGraphsNames
21:25:11.565 INFO   - MainWindow::loadCoordSystemListFromCmdMediator
21:25:11.565 INFO   - Document::coordSystemCount
21:25:11.565 INFO   - MainWindow::updateViewsOfSettings
21:25:11.565 INFO   - ViewPointStyle::unsetPointStyle
21:25:11.565 INFO   - DocumentModelColorFilter::DocumentModelColorFilter
21:25:11.565 INFO   - BackgroundStateContext::setCurveSelected curve=Curve1
